epoch,lr,train_loss,train_ssim,train_msssim,train_psnr,val_loss,val_ssim,val_msssim,val_psnr
112,1.59e-05,0.1014,0.8513,0.9351,30.56,0.0963,0.8511,0.9190,33.26
113,1.51e-05,0.1010,0.8512,0.9362,30.36,0.0965,0.8506,0.9189,33.13
114,1.44e-05,0.0991,0.8547,0.9378,30.43,0.0964,0.8512,0.9188,33.13
115,1.37e-05,0.0983,0.8574,0.9393,30.81,0.0968,0.8498,0.9187,33.00
116,1.30e-05,0.1010,0.8503,0.9363,30.56,0.0960,0.8503,0.9197,33.12
117,1.24e-05,0.0986,0.8536,0.9375,30.78,0.0961,0.8508,0.9193,33.32
118,1.17e-05,0.1019,0.8507,0.9369,30.57,0.0968,0.8503,0.9187,32.77
119,1.11e-05,0.1059,0.8420,0.9333,30.14,0.0961,0.8513,0.9192,33.34
120,1.05e-05,0.1027,0.8481,0.9360,30.64,0.0958,0.8515,0.9199,33.08
121,9.85e-06,0.1001,0.8508,0.9370,30.78,0.0958,0.8515,0.9201,33.27
122,9.27e-06,0.0979,0.8563,0.9394,30.69,0.0954,0.8521,0.9202,33.21
123,8.71e-06,0.1013,0.8507,0.9372,30.58,0.0952,0.8526,0.9206,33.30
124,8.16e-06,0.1010,0.8513,0.9349,30.82,0.0959,0.8514,0.9197,33.23
125,7.63e-06,0.1001,0.8481,0.9358,30.66,0.0957,0.8519,0.9200,33.19
126,7.12e-06,0.1034,0.8456,0.9353,30.62,0.0955,0.8517,0.9202,33.25
127,6.63e-06,0.1012,0.8516,0.9384,30.48,0.0953,0.8521,0.9205,33.24
128,6.16e-06,0.1018,0.8489,0.9366,30.53,0.0956,0.8520,0.9200,33.28
129,5.71e-06,0.1001,0.8510,0.9378,30.68,0.0955,0.8515,0.9201,33.36
130,5.28e-06,0.1005,0.8508,0.9379,30.71,0.0951,0.8523,0.9206,33.37
131,4.87e-06,0.0992,0.8533,0.9386,30.82,0.0951,0.8521,0.9206,33.44
132,4.48e-06,0.0965,0.8560,0.9393,31.08,0.0949,0.8524,0.9207,33.43
133,4.10e-06,0.0997,0.8521,0.9387,30.85,0.0950,0.8521,0.9208,33.34
134,3.75e-06,0.0948,0.8603,0.9404,31.29,0.0952,0.8519,0.9206,33.35
135,3.42e-06,0.0993,0.8506,0.9375,30.78,0.0951,0.8521,0.9206,33.35
136,3.11e-06,0.0983,0.8529,0.9382,30.91,0.0950,0.8527,0.9207,33.39
137,2.82e-06,0.1005,0.8469,0.9374,30.87,0.0947,0.8529,0.9211,33.43
138,2.56e-06,0.0992,0.8519,0.9390,30.77,0.0950,0.8524,0.9205,33.43
139,2.31e-06,0.1014,0.8483,0.9377,30.60,0.0947,0.8530,0.9210,33.47
140,2.08e-06,0.1003,0.8516,0.9381,30.85,0.0946,0.8530,0.9211,33.50
141,1.88e-06,0.0998,0.8493,0.9378,30.86,0.0950,0.8524,0.9207,33.42
142,1.69e-06,0.0982,0.8555,0.9402,30.83,0.0948,0.8529,0.9209,33.46
143,1.53e-06,0.0991,0.8548,0.9390,30.96,0.0949,0.8524,0.9208,33.47
144,1.39e-06,0.0992,0.8547,0.9395,31.05,0.0948,0.8524,0.9210,33.48
145,1.27e-06,0.0986,0.8557,0.9392,30.87,0.0946,0.8527,0.9212,33.48
146,1.17e-06,0.0984,0.8526,0.9381,31.05,0.0948,0.8526,0.9209,33.47
147,1.10e-06,0.0963,0.8545,0.9399,31.10,0.0947,0.8527,0.9210,33.49
148,1.04e-06,0.0962,0.8568,0.9402,30.99,0.0947,0.8528,0.9210,33.49
149,1.01e-06,0.0994,0.8501,0.9374,31.16,0.0946,0.8527,0.9212,33.48
150,1.00e-06,0.0975,0.8531,0.9389,30.81,0.0947,0.8529,0.9209,33.50
